Grade Level,Student Number,Gender,Race,Hispanic / Latino,LEP Indicator Code,IEP,Eligible for Free or Reduced Lunch,Has Special Education Enrollment TX,Homeless,Foster Care,Has Active at Risk,Language Description,Status of Enrollment
09 - 09,267570,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,286470,M - Male,White,True,,No,No,No,Homeless,Not Applicable,Yes,ENGLISH,Active
09 - 09,269746,F - Female,Amer Indian,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,266425,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,291281,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272044,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,270608,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,291245,F - Female,White,False,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267997,M - Male,Amer Indian,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,279723,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267284,F - Female,Amer Indian,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269243,F - Female,Amer Indian,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,287284,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,276015,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,274463,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267285,M - Male,Amer Indian,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,285680,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,291221,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,283624,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,290053,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271006,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,269768,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,269478,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,277071,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267137,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,266362,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,290988,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,282397,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267350,M - Male,Amer Indian,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269289,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,274024,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269585,M - Male,Amer Indian,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,266253,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,289486,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,270658,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,268765,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,276731,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,291101,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,266849,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,268666,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,291178,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269794,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,268840,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269389,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,280365,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,263855,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267567,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,288276,F - Female,White,True,4,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,269637,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,275257,M - Male,White,False,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,269163,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271346,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,282609,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,289803,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,287441,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,273682,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,277801,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,277800,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,283964,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271723,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,289337,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,268925,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,275877,F - Female,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,267595,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267242,F - Female,Amer Indian,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271498,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269872,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,276523,M - Male,Amer Indian,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,281853,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269116,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,271690,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,282378,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267589,M - Male,Amer Indian,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267670,M - Male,White,True,C,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,290069,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,266282,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272089,M - Male,Amer Indian,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,282408,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,285017,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,268839,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,276522,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267017,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269456,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,277186,F - Female,White,True,5,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267549,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267091,M - Male,Amer Indian,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,274456,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,268593,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,281271,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267011,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,268600,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,267555,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,266927,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269455,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,280377,M - Male,White,True,4,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,273018,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,271615,M - Male,White,True,C,Yes,No,Yes,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,283623,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,276887,F - Female,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,281042,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,270324,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,267619,M - Male,White,False,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,271279,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,270766,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,269110,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271390,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,271385,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,271040,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,290887,F - Female,Black,False,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,284254,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,273648,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,273003,F - Female,White,True,5,No,No,No,Not Applicable,Not Applicable,No,SPANISH,Active
09 - 09,280114,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269401,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,280419,M - Male,Amer Indian,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,276151,F - Female,Black,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,281450,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,268478,M - Male,White,True,4,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,268606,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,273707,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,274748,M - Male,White,True,C,Yes,No,Yes,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,271398,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,276163,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,278541,M - Male,White,True,,No,No,No,Homeless,Not Applicable,Yes,ENGLISH,Active
09 - 09,286176,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,288528,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,272127,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272496,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272497,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,271399,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,285760,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271496,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,288023,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,286915,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,271273,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,283516,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,273979,F - Female,White,True,4,No,No,No,Not Applicable,Not Applicable,No,SPANISH,Active
09 - 09,268652,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271461,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,272154,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271995,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,271098,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,283589,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,271558,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271559,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,287846,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271786,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,271297,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,269893,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272988,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269210,F - Female,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,283001,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271258,F - Female,White,True,5,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,291198,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,No,SPANISH,Active
09 - 09,268601,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,273000,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,288531,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,268588,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,281315,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,275159,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,271594,F - Female,Amer Indian,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,275161,M - Male,White,True,4,No,No,No,Not Applicable,Not Applicable,No,SPANISH,Active
09 - 09,280422,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271261,F - Female,White,True,4,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,271622,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,271962,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271264,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,287575,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,271593,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,271123,F - Female,White,True,4,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,276805,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,289719,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,269570,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269385,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272952,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,291113,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,273343,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,278461,F - Female,White,True,4,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,272933,F - Female,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,272874,F - Female,White,True,4,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,271460,F - Female,White,True,3,No,No,No,Homeless,Not Applicable,Yes,ENGLISH,Active
09 - 09,282653,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,268589,M - Male,White,True,C,Yes,No,Yes,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,271293,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,268023,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,271036,M - Male,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,284176,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,270747,F - Female,White,True,,No,No,No,Not Applicable,Foster Care,Yes,ENGLISH,Active
09 - 09,271598,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271109,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,272861,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,268602,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272234,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,269650,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271857,F - Female,Multi-Race,True,5,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271601,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271320,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,283213,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,278173,M - Male,White,False,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272947,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,275317,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,278923,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,288540,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,287243,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271321,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271777,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271300,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,271229,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272948,F - Female,White,True,4,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,274423,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,274416,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,273731,F - Female,White,True,4,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,270830,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271268,M - Male,White,True,4,No,No,No,Not Applicable,Not Applicable,No,SPANISH,Active
09 - 09,271330,M - Male,Amer Indian,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271269,F - Female,White,True,4,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,271682,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,276715,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,274719,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,289639,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,287778,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271609,M - Male,White,True,5,No,No,No,Not Applicable,Not Applicable,No,SPANISH,Active
09 - 09,271468,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,288543,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,268634,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271378,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271132,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,285565,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,273549,M - Male,White,True,4,No,No,No,Not Applicable,Not Applicable,No,SPANISH,Active
09 - 09,286222,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271611,M - Male,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272990,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,270740,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271319,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,281349,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,286442,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,276509,M - Male,White,True,C,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,281792,F - Female,Amer Indian,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,283160,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,278384,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271445,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,273519,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272015,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,291119,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,270068,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,290658,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,NATIVE AMERICAN LANGUAGES,Active
09 - 09,269557,M - Male,Multi-Race,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,285775,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,274756,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,285958,M - Male,Black,False,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,290172,M - Male,White,True,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,279848,F - Female,White,True,C,No,No,No,Not Applicable,Not Applicable,Yes,SPANISH,Active
09 - 09,270804,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,289506,F - Female,White,True,4,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,271881,F - Female,Amer Indian,True,C,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,272879,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,289660,F - Female,Black,False,,No,No,No,Not Applicable,Not Applicable,Yes,ENGLISH,Active
09 - 09,283495,F - Female,Black,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,273884,F - Female,White,True,,No,No,No,Not Applicable,Not Applicable,No,ENGLISH,Active
09 - 09,286816,F - Female,White,True,,Yes,No,Yes,Not Applicable,Not Applicable,Yes,ENGLISH,Active
